Dniva;AGI
Dniva10114;AT4G15570
Dniva10263;AT1G67000
Dniva10339;AT1G67820
Dniva10445;AT1G68370
Dniva10663;AT5G17880
Dniva10679;AT2G42380
Dniva10680;AT1G58280
Dniva10707;AT4G26220
Dniva10713;AT4G26220
Dniva10879;AT2G18710
Dniva10922;AT2G18880
Dniva10958;AT2G18880
Dniva1097;AT3G42170
Dniva11502;AT1G61790
Dniva11760;AT1G80740
Dniva1194;AT3G27710
Dniva12061;AT1G30400
Dniva12109;AT5G49160
Dniva12121;AT1G49990
Dniva12234;AT1G29630
Dniva12276;AT4G34050
Dniva12326;AT1G28280
Dniva12679;AT5G49720
Dniva12823;AT1G26360
Dniva1328;AT2G46720
Dniva13509;AT1G20510
Dniva13707;AT4G04980
Dniva13916;AT2G30570
Dniva13949;AT1G25350
Dniva1410;AT3G26560
Dniva14205;AT3G42170
Dniva14314;AT2G02040
Dniva14358;AT1G14320
Dniva14511;AT1G13400
Dniva14695;AT1G07170
Dniva14877;AT1G10780
Dniva15333;AT4G22340
Dniva15460;AT1G07250
Dniva15605;AT1G05300
Dniva15716;AT1G04880
Dniva15916;AT4G02570
Dniva15959;AT1G01370
Dniva16066;AT1G01580
Dniva16089;AT1G01540
Dniva16210;AT5G47390
Dniva16435;AT3G03300
Dniva16628;AT3G01320
Dniva17159;AT1G13120
Dniva17167;AT1G12860
Dniva17334;AT3G48190
Dniva17351;AT3G07490
Dniva17359;AT3G48090
Dniva17375;AT3G07540
Dniva17382;AT3G07570
Dniva17479;AT5G51250
Dniva17480;AT3G07950
Dniva17663;AT2G43440
Dniva17844;AT5G05170
Dniva18081;AT3G17540
Dniva18160;AT4G05420
Dniva1832;AT2G46400
Dniva18414;AT4G05420
Dniva18435;AT1G11780
Dniva18455;AT1G11780
Dniva1853;AT3G61860
Dniva18935;AT3G09370
Dniva19006;AT3G17205
Dniva19227;AT3G19820
Dniva19313;AT5G47870
Dniva1938;AT2G44120
Dniva19559;AT1G13800
Dniva19569;AT3G13680
Dniva1959;AT2G43940
Dniva1984;AT1G64065
Dniva19890;AT5G06160
Dniva19939;AT3G24320
Dniva20280;AT2G17200
Dniva20427;AT2G22730
Dniva20478;AT2G16600
Dniva20492;AT2G16530
Dniva20632;AT2G15290
Dniva20715;AT1G56360
Dniva20716;AT2G17410
Dniva20739;AT4G00620
Dniva20781;AT2G36070
Dniva20876;AT2G19570
Dniva21024;AT5G01100
Dniva21064;AT1G53840
Dniva21075;AT5G02620
Dniva21140;AT3G28410
Dniva21373;AT5G05450
Dniva21751;AT5G07290
Dniva21754;AT5G07290
Dniva21807;AT5G07740
Dniva2195;AT3G47400
Dniva22102;AT5G10270
Dniva22228;AT3G18470
Dniva2237;AT2G43410
Dniva22424;AT5G13490
Dniva22537;AT3G53310
Dniva228;AT1G53570
Dniva22813;AT5G16290
Dniva22935;AT1G76680
Dniva22966;AT5G17820
Dniva22967;AT5G17820
Dniva23042;AT1G06250
Dniva23105;AT4G29540
Dniva23207;AT5G26830
Dniva23278;AT2G32510
Dniva23496;AT5G48030
Dniva2364;AT3G48090
Dniva23795;AT5G52820
Dniva23800;AT5G52790
Dniva24031;AT5G53760
Dniva24112;AT5G54610
Dniva24141;AT1G21620
Dniva24214;AT5G55280
Dniva24281;AT1G48160
Dniva24616;AT5G58600
Dniva24657;AT5G58170
Dniva24716;AT1G21620
Dniva25107;AT2G46760
Dniva25267;AT2G16950
Dniva25321;AT5G25790
Dniva25397;AT3G13680
Dniva25410;AT1G79600
Dniva25617;AT5G24300
Dniva25618;AT5G24420
Dniva25659;AT5G23530
Dniva25753;AT5G23140
Dniva25943;AT5G62630
Dniva26130;AT5G63480
Dniva26173;AT5G09330
Dniva26190;AT5G63520
Dniva26336;AT5G67500
Dniva26413;AT5G66850
Dniva26457;AT5G66400
Dniva26475;AT1G80740
Dniva26492;AT3G47840
Dniva26534;AT5G66750
Dniva26635;AT4G36020
Dniva26676;AT4G38740
Dniva26679;AT4G39240
Dniva26932;AT1G77980
Dniva26963;AT4G37130
Dniva27108;AT1G59680
Dniva27111;AT4G36220
Dniva27166;AT4G35890
Dniva27318;AT4G34910
Dniva27321;AT4G34910
Dniva27450;AT3G13680
Dniva27640;AT5G48485
Dniva27794;AT4G32500
Dniva27932;AT1G03970
Dniva28140;AT4G30870
Dniva28518;AT4G27760
Dniva28566;AT4G27500
Dniva2860;AT3G46830
Dniva29598;AT4G04960
Dniva2971;AT3G53040
Dniva29789;AT4G19810
Dniva29967;AT4G18465
Dniva29985;AT4G18380
Dniva29987;AT5G46210
Dniva30042;AT4G17830
Dniva30140;AT4G17780
Dniva30594;AT4G02450
Dniva3060;AT3G53280
Dniva30625;AT4G02930
Dniva30630;AT3G24430
Dniva30634;AT4G02770
Dniva30725;AT4G03520
Dniva30857;AT5G43600
Dniva30876;AT2G33060
Dniva30934;AT2G32410
Dniva31005;AT2G31980
Dniva31016;AT5G02620
Dniva31309;AT1G16860
Dniva31472;AT4G02970
Dniva31883;AT5G46370
Dniva31904;AT3G50808
Dniva32027;AT5G54610
Dniva32046;AT2G33060
Dniva32229;AT2G21120
Dniva32299;AT4G31480
Dniva32344;AT2G22140
Dniva32366;AT1G05100
Dniva32530;AT2G23600
Dniva32710;AT2G25050
Dniva32732;AT2G25170
Dniva32810;AT2G25850
Dniva32863;AT1G71450
Dniva32961;AT5G37890
Dniva33037;AT5G38830
Dniva33266;AT1G49990
Dniva33453;AT2G21370
Dniva3375;AT3G55700
Dniva3398;AT3G55700
Dniva341;AT2G01470
Dniva3531;AT4G26420
Dniva3546;AT4G10400
Dniva3705;AT3G57270
Dniva3710;AT5G49060
Dniva377;AT2G02040
Dniva3830;AT3G60240
Dniva4071;AT3G58180
Dniva4289;AT3G62300
Dniva4300;AT2G47170
Dniva432;AT3G11540
Dniva4338;AT3G62230
Dniva4451;AT1G59560
Dniva462;AT2G10440
Dniva4774;AT1G53840
Dniva4793;AT1G53670
Dniva4808;AT1G53600
Dniva482;AT5G63110
Dniva4896;AT3G15010
Dniva491;AT2G40450
Dniva5048;AT1G52160
Dniva5143;AT1G51800
Dniva5179;AT2G36950
Dniva5210;AT1G50030
Dniva5562;AT1G57750
Dniva5609;AT4G16160
Dniva5700;AT2G23140
Dniva5746;AT5G47980
Dniva5779;AT5G03610
Dniva5842;AT4G14340
Dniva5858;AT4G14410
Dniva5913;AT4G13780
Dniva5915;AT4G13640
Dniva6074;AT1G70830
Dniva6133;AT5G02110
Dniva6669;AT4G02110
Dniva6919;AT2G33560
Dniva7122;AT2G35160
Dniva7132;AT2G35120
Dniva7362;AT2G36710
Dniva7405;AT2G36620
Dniva7422;AT2G36200
Dniva7485;AT2G37220
Dniva7546;AT3G53740
Dniva7655;AT2G38380
Dniva7656;AT2G38380
Dniva7658;AT2G38380
Dniva7784;AT1G53570
Dniva7794;AT5G13860
Dniva7861;AT1G53570
Dniva7918;AT2G39570
Dniva8006;AT2G40380
Dniva8171;AT1G79870
Dniva8183;AT3G07050
Dniva8358;AT1G79440
Dniva8670;AT4G08350
Dniva8720;AT5G47010
Dniva8748;AT1G21460
Dniva9326;AT1G73330
Dniva9486;AT1G72360
Dniva9521;AT3G47840
Dniva9547;AT1G72125
Dniva9866;AT5G57300
Dniva10083;AT1G65480
Dniva10164;AT1G66330
Dniva10306;AT1G67480
Dniva10468;AT1G68480
Dniva10647;AT1G57750
Dniva11156;AT1G63680
Dniva1125;AT2G48160
Dniva1202;AT2G44980
Dniva12302;AT1G29100
Dniva12327;AT1G28390
Dniva12337;AT1G28370
Dniva12495;AT1G47510
Dniva12541;AT4G25740
Dniva12552;AT4G25600
Dniva12568;AT4G24820
Dniva12606;AT4G24900
Dniva12684;AT1G44910
Dniva12702;AT4G24580
Dniva12708;AT4G24290
Dniva12710;AT4G24450
Dniva12755;AT1G49980
Dniva12899;AT1G26930
Dniva12959;AT1G24190
Dniva13629;AT1G19520
Dniva13643;AT4G22220
Dniva13727;AT1G18410
Dniva13770;AT1G29630
Dniva14308;AT4G02940
Dniva14441;AT2G41870
Dniva14465;AT1G13640
Dniva1458;AT2G46920
Dniva14696;AT1G11990
Dniva1487;AT2G46800
Dniva14966;AT1G10320
Dniva14968;AT1G10390
Dniva15181;AT1G08550
Dniva15224;AT1G09000
Dniva15250;AT1G08030
Dniva15255;AT1G08320
Dniva15432;AT1G07520
Dniva15475;AT1G06170
Dniva15476;AT1G06250
Dniva15500;AT1G05900
Dniva15773;AT1G48320
Dniva15822;AT1G03770
Dniva15856;AT1G03365
Dniva1587;AT5G47750
Dniva16009;AT1G02340
Dniva16122;AT1G01760
Dniva16570;AT3G02170
Dniva16668;AT5G54610
Dniva16691;AT3G01910
Dniva17416;AT3G09560
Dniva17445;AT3G07770
Dniva17599;AT3G49660
Dniva17747;AT3G11240
Dniva17814;AT3G10820
Dniva17899;AT3G12700
Dniva17910;AT3G12620
Dniva18159;AT5G66470
Dniva18269;AT3G13040
Dniva18281;AT3G12980
Dniva18441;AT4G27430
Dniva18639;AT5G11470
Dniva18717;AT3G15950
Dniva19210;AT3G19800
Dniva19267;AT3G20870
Dniva19447;AT3G20390
Dniva19548;AT3G22790
Dniva19730;AT3G23060
Dniva19997;AT3G23710
Dniva20040;AT2G15280
Dniva20092;AT2G06200
Dniva20149;AT2G13370
Dniva20200;AT3G25440
Dniva21085;AT5G02040
Dniva21494;AT4G35570
Dniva21716;AT5G06710
Dniva21804;AT5G07680
Dniva21827;AT4G33510
Dniva21876;AT5G23090
Dniva22107;AT5G10440
Dniva22134;AT5G11010
Dniva22251;AT5G03795
Dniva22401;AT5G12370
Dniva22549;AT5G14130
Dniva22593;AT5G14610
Dniva2264;AT4G38180
Dniva2270;AT1G47540
Dniva22806;AT5G16180
Dniva22929;AT3G01460
Dniva22989;AT5G18610
Dniva23003;AT5G18400
Dniva23033;AT5G18800
Dniva23196;AT1G77220
Dniva23208;AT2G42330
Dniva23516;AT3G12350
Dniva2353;AT3G48160
Dniva23961;AT4G36690
Dniva24041;AT5G53635
Dniva241;AT2G41430
Dniva24118;AT4G27040
Dniva24175;AT5G54730
Dniva24474;AT5G57240
Dniva24760;AT5G59430
Dniva24970;AT5G22830
Dniva25067;AT5G22110
Dniva25133;AT5G21160
Dniva25179;AT5G20490
Dniva25300;AT5G03795
Dniva25487;AT4G34040
Dniva25557;AT5G23870
Dniva25695;AT5G41820
Dniva26017;AT5G63090
Dniva26180;AT5G64080
Dniva26312;AT5G67440
Dniva26476;AT5G66350
Dniva26543;AT5G66170
Dniva26658;AT4G38950
Dniva26807;AT4G38100
Dniva269;AT2G01150
Dniva27095;AT2G36640
Dniva27099;AT4G36400
Dniva27155;AT4G24180
Dniva27199;AT2G17560
Dniva27244;AT4G35180
Dniva27428;AT4G34440
Dniva27515;AT3G54230
Dniva27960;AT5G63920
Dniva28156;AT3G60320
Dniva28242;AT4G28980
Dniva28535;AT4G27340
Dniva28556;AT4G27595
Dniva28623;AT4G26010
Dniva28761;AT4G24180
Dniva28961;AT3G58620
Dniva29491;AT4G21880
Dniva29701;AT4G20900
Dniva30090;AT4G17486
Dniva30492;AT4G34100
Dniva30505;AT3G18140
Dniva30655;AT4G03280
Dniva30696;AT1G54610
Dniva31175;AT5G42560
Dniva31723;AT3G50950
Dniva31746;AT5G46030
Dniva31919;AT5G46880
Dniva32171;AT5G40820
Dniva32258;AT2G21300
Dniva32415;AT2G22730
Dniva32467;AT2G23140
Dniva32538;AT2G23760
Dniva32890;AT5G55130
Dniva32906;AT5G37370
Dniva32910;AT5G37570
Dniva32988;AT5G38510
Dniva33114;AT5G39250
Dniva353;AT2G01650
Dniva3567;AT3G56050
Dniva3655;AT1G65420
Dniva3657;AT3G56710
Dniva3660;AT3G56860
Dniva3947;AT2G43680
Dniva422;AT3G25740
Dniva4316;AT3G62090
Dniva4317;AT3G62120
Dniva4420;AT3G63400
Dniva4456;AT3G63120
Dniva483;AT5G49840
Dniva4992;AT1G53025
Dniva5479;AT1G48360
Dniva585;AT3G25890
Dniva5886;AT4G13800
Dniva5975;AT4G13460
Dniva6291;AT2G27150
Dniva6412;AT2G29090
Dniva6782;AT2G30600
Dniva6798;AT2G30620
Dniva6829;AT5G43130
Dniva6854;AT2G29530
Dniva6884;AT2G33680
Dniva6929;AT2G20585
Dniva6977;AT2G34150
Dniva7090;AT1G73660
Dniva7121;AT2G35210
Dniva7242;AT2G35890
Dniva740;AT3G26980
Dniva7478;AT2G37080
Dniva7506;AT2G37440
Dniva7515;AT2G37270
Dniva8114;AT2G41340
Dniva8203;AT1G79830
Dniva8467;AT1G78710
Dniva8538;AT1G78290
Dniva8713;AT4G02110
Dniva8796;AT1G76630
Dniva8912;AT1G76100
Dniva8974;AT1G75700
Dniva8992;AT1G75340
Dniva9029;AT1G01500
Dniva9411;AT1G72740
Dniva9482;AT5G63320
Dniva9487;AT1G72390
Dniva995;AT3G44750
Dniva10141;AT2G40090
Dniva1018;AT3G44820
Dniva10226;AT5G02800
Dniva1026;AT3G28850
Dniva10315;AT1G27930
Dniva10341;AT1G67720
Dniva10365;AT1G67640
Dniva10391;AT1G67990
Dniva10455;AT4G39670
Dniva10475;AT1G68460
Dniva10480;AT1G68690
Dniva10492;AT1G68620
Dniva10507;AT4G10320
Dniva10542;AT5G55000
Dniva10581;AT1G55020
Dniva1059;AT3G28510
Dniva1072;AT3G30180
Dniva10726;AT1G59610
Dniva10766;AT1G60420
Dniva10768;AT5G57990
Dniva10830;AT1G60890
Dniva10839;AT1G60770
Dniva10878;AT2G18660
Dniva10913;AT2G18730
Dniva11019;AT1G63890
Dniva11036;AT4G11370
Dniva11069;AT1G64390
Dniva1113;AT1G06330
Dniva11318;AT1G12460
Dniva11401;AT2G21710
Dniva11402;AT2G21710
Dniva11473;AT1G61740
Dniva11488;AT1G61770
Dniva11504;AT1G57570
Dniva11507;AT1G61250
Dniva11851;AT4G16845
Dniva11862;AT4G16845
Dniva1188;AT5G27700
Dniva11880;AT1G32080
Dniva12055;AT1G30440
Dniva12160;AT1G55900
Dniva1217;AT2G45030
Dniva12267;AT1G29500
Dniva12343;AT1G28440
Dniva12369;AT1G27730
Dniva12445;AT1G06900
Dniva12502;AT5G42940
Dniva12530;AT4G25640
Dniva12594;AT4G25140
Dniva12667;AT1G24625
Dniva12712;AT4G24620
Dniva12736;AT1G25280
Dniva12792;AT1G25480
Dniva12808;AT1G25530
Dniva12922;AT1G27130
Dniva12980;AT1G56500
Dniva13023;AT5G42500
Dniva13036;AT1G23030
Dniva13057;AT1G23240
Dniva1312;AT2G45240
Dniva1320;AT2G44040
Dniva13438;AT1G20980
Dniva13465;AT1G20696
Dniva13476;AT1G20450
Dniva1354;AT2G42580
Dniva13549;AT5G63860
Dniva13599;AT1G20020
Dniva13729;AT4G33810
Dniva1373;AT5G46750
Dniva13735;AT1G18265
Dniva13745;AT1G18390
Dniva13755;AT1G18140
Dniva13756;AT1G18250
Dniva13791;AT1G17910
Dniva13800;AT1G18910
Dniva13810;AT1G17420
Dniva13897;AT1G18570
Dniva13936;AT1G17220
Dniva13943;AT1G17260
Dniva1396;AT3G26400
Dniva13970;AT1G29970
Dniva13976;AT1G17070
Dniva1399;AT3G26430
Dniva1401;AT3G26420
Dniva1402;AT3G26630
Dniva14123;AT1G15890
Dniva14146;AT1G16190
Dniva14169;AT1G15660
Dniva14175;AT1G15570
Dniva14206;AT5G46340
Dniva14262;AT1G14910
Dniva14302;AT1G14720
Dniva14384;AT1G14410
Dniva14434;AT1G14040
Dniva14558;AT1G12820
Dniva14596;AT1G12700
Dniva14644;AT1G12440
Dniva14659;AT5G12900
Dniva1470;AT2G46870
Dniva14876;AT1G10900
Dniva14915;AT3G49660
Dniva14928;AT1G10620
Dniva15000;AT1G10270
Dniva15012;AT1G09620
Dniva15050;AT1G09580
Dniva15149;AT1G09190
Dniva15256;AT1G08380
Dniva15273;AT1G08180
Dniva15279;AT1G08410
Dniva15293;AT1G08280
Dniva15306;AT1G07870
Dniva15398;AT1G06780
Dniva15416;AT2G29640
Dniva1545;AT2G44160
Dniva15565;AT1G06290
Dniva15622;AT1G68910
Dniva15638;AT1G05250
Dniva15676;AT1G04610
Dniva15688;AT1G04600
Dniva15794;AT1G04100
Dniva15866;AT1G03510
Dniva15893;AT3G27120
Dniva15912;AT1G03050
Dniva15924;AT1G02810
Dniva1594;AT3G06960
Dniva16055;AT1G01600
Dniva1610;AT2G35420
Dniva1617;AT3G52140
Dniva16261;AT5G42180
Dniva16285;AT4G08180
Dniva164;AT2G42360
Dniva1655;AT2G45470
Dniva16616;AT3G01300
Dniva1672;AT2G45620
Dniva16787;AT3G02520
Dniva16915;AT3G04840
Dniva16994;AT3G51800
Dniva17225;AT3G06830
Dniva17264;AT3G05490
Dniva17467;AT5G51250
Dniva17547;AT3G08530
Dniva17550;AT3G08590
Dniva17571;AT4G10400
Dniva17612;AT3G09200
Dniva1762;AT2G46280
Dniva17667;AT3G07100
Dniva17767;AT3G09840
Dniva17801;AT3G09770
Dniva17859;AT1G64690
Dniva17943;AT1G54080
Dniva17981;AT3G13330
Dniva1802;AT5G49830
Dniva18026;AT3G11910
Dniva18090;AT3G49480
Dniva18111;AT3G10490
Dniva18210;AT3G13840
Dniva18283;AT3G12810
Dniva1831;AT2G46660
Dniva18310;AT5G35940
Dniva184;AT2G41700
Dniva18599;AT3G15130
Dniva18808;AT3G16380
Dniva18812;AT3G16300
Dniva18860;AT3G16950
Dniva19089;AT3G18770
Dniva19102;AT3G18650
Dniva19106;AT3G18710
Dniva19150;AT3G19160
Dniva19182;AT3G12610
Dniva19221;AT3G19850
Dniva19223;AT3G19710
Dniva19294;AT3G19420
Dniva19312;AT3G24480
Dniva19319;AT3G21970
Dniva19347;AT4G15330
Dniva19351;AT3G20040
Dniva19380;AT3G58410
Dniva19437;AT3G20475
Dniva19558;AT3G22660
Dniva19652;AT3G22590
Dniva19668;AT3G22440
Dniva19701;AT3G22275
Dniva1971;AT2G43710
Dniva19728;AT3G23070
Dniva19832;AT3G24800
Dniva19862;AT2G33210
Dniva19870;AT2G05170
Dniva19931;AT3G24340
Dniva20009;AT3G23820
Dniva202;AT2G41740
Dniva20216;AT2G04530
Dniva20228;AT3G25210
Dniva20230;AT3G25220
Dniva20290;AT2G17230
Dniva20344;AT2G16880
Dniva20377;AT2G17760
Dniva20383;AT2G17790
Dniva20402;AT2G17480
Dniva20405;AT2G17840
Dniva20425;AT2G18410
Dniva20458;AT2G18620
Dniva20535;AT2G20290
Dniva20570;AT5G06970
Dniva20594;AT2G14610
Dniva20780;AT2G20700
Dniva20833;AT4G29840
Dniva20944;AT5G01610
Dniva21133;AT5G03080
Dniva21247;AT5G03740
Dniva21361;AT5G04410
Dniva21363;AT5G04500
Dniva21459;AT5G05190
Dniva21463;AT5G05130
Dniva21645;AT1G66570
Dniva21798;AT5G07830
Dniva21895;AT5G08330
Dniva21915;AT5G08590
Dniva2200;AT3G47440
Dniva22082;AT5G10370
Dniva221;AT2G41410
Dniva22150;AT5G10770
Dniva22315;AT5G26050
Dniva2232;AT2G43260
Dniva2242;AT2G43580
Dniva2255;AT3G59350
Dniva22608;AT5G66410
Dniva22618;AT5G14620
Dniva22634;AT5G14470
Dniva22645;AT5G15110
Dniva22702;AT5G16020
Dniva22762;AT5G15290
Dniva22849;AT1G42550
Dniva22905;AT1G66230
Dniva22911;AT5G16730
Dniva23112;AT5G18080
Dniva23117;AT5G17860
Dniva23118;AT5G18070
Dniva23161;AT4G09580
Dniva23167;AT5G19080
Dniva23183;AT5G19220
Dniva23193;AT5G26690
Dniva23221;AT1G65300
Dniva23226;AT5G26742
Dniva23316;AT4G16560
Dniva23324;AT4G03430
Dniva23344;AT5G28750
Dniva23525;AT5G50750
Dniva23652;AT5G51060
Dniva23839;AT5G52600
Dniva23891;AT5G53635
Dniva24059;AT5G53830
Dniva24079;AT5G54310
Dniva24090;AT5G54490
Dniva24119;AT3G14010
Dniva24164;AT1G56400
Dniva24428;AT5G56930
Dniva24487;AT3G47760
Dniva24524;AT3G63300
Dniva2457;AT4G39340
Dniva24574;AT5G58330
Dniva24581;AT5G58480
Dniva24630;AT5G58230
Dniva24634;AT5G57800
Dniva24653;AT5G58090
Dniva24743;AT5G59250
Dniva24748;AT3G09070
Dniva24755;AT5G59380
Dniva24801;AT5G59780
Dniva24816;AT5G60040
Dniva24943;AT1G65240
Dniva25031;AT5G59680
Dniva25032;AT5G59680
Dniva25059;AT5G22350
Dniva25083;AT5G22100
Dniva25101;AT5G22060
Dniva25120;AT5G21222
Dniva25141;AT5G20990
Dniva25143;AT5G20910
Dniva25156;AT5G21150
Dniva25217;AT5G19980
Dniva25298;AT5G19690
Dniva25354;AT5G61560
Dniva25435;AT5G25110
Dniva25453;AT1G65550
Dniva25474;AT5G25310
Dniva25489;AT4G16560
Dniva25518;AT3G07020
Dniva25640;AT5G23580
Dniva2565;AT3G49240
Dniva25665;AT5G23720
Dniva25679;AT4G15475
Dniva25711;AT5G60910
Dniva25726;AT5G23170
Dniva25731;AT5G23080
Dniva25822;AT5G61780
Dniva25832;AT5G61580
Dniva25843;AT5G61460
Dniva25858;AT5G61590
Dniva26010;AT5G63030
Dniva26040;AT5G64470
Dniva26069;AT5G64210
Dniva26105;AT5G64700
Dniva26328;AT5G67510
Dniva26349;AT5G67360
Dniva26351;AT1G05100
Dniva26380;AT5G65660
Dniva26392;AT2G37240
Dniva26408;AT5G67030
Dniva26409;AT5G67140
Dniva26628;AT4G38830
Dniva26631;AT4G39050
Dniva26667;AT4G39110
Dniva26675;AT4G39100
Dniva26760;AT4G39795
Dniva26923;AT4G37510
Dniva26936;AT2G22360
Dniva26945;AT4G37400
Dniva2695;AT3G47780
Dniva26952;AT2G21950
Dniva27018;AT4G35910
Dniva2704;AT2G32780
Dniva27061;AT5G13800
Dniva27125;AT4G36130
Dniva27131;AT2G18080
Dniva27208;AT4G35380
Dniva27407;AT4G34490
Dniva27449;AT4G34350
Dniva27494;AT4G34220
Dniva2754;AT3G50740
Dniva27607;AT4G33430
Dniva27660;AT4G33200
Dniva27789;AT4G32430
Dniva28016;AT4G30790
Dniva28101;AT4G30420
Dniva28142;AT4G30210
Dniva28361;AT4G29460
Dniva2837;AT3G47060
Dniva28423;AT4G28050
Dniva28516;AT4G27890
Dniva28528;AT5G38440
Dniva28531;AT4G27330
Dniva28569;AT4G27550
Dniva28621;AT4G26740
Dniva29026;AT1G33811
Dniva29069;AT1G33110
Dniva29152;AT4G23850
Dniva29180;AT4G23710
Dniva29274;AT4G23010
Dniva29423;AT1G27480
Dniva29436;AT4G22130
Dniva29549;AT4G21745
Dniva29621;AT4G21090
Dniva29652;AT4G21090
Dniva2967;AT3G52950
Dniva29718;AT4G20940
Dniva29735;AT4G20460
Dniva29740;AT4G20770
Dniva29762;AT4G20110
Dniva29780;AT4G19700
Dniva29793;AT4G19890
Dniva29821;AT4G19050
Dniva29846;AT2G43850
Dniva29865;AT4G19170
Dniva29924;AT4G18780
Dniva29944;AT4G18750
Dniva29971;AT2G16390
Dniva29993;AT4G18205
Dniva30083;AT5G16840
Dniva30111;AT4G18490
Dniva30318;AT4G00490
Dniva30326;AT4G00230
Dniva30389;AT5G05190
Dniva30437;AT3G11660
Dniva30471;AT4G01470
Dniva30520;AT4G01840
Dniva30557;AT4G02330
Dniva30577;AT1G54970
Dniva30600;AT4G02820
Dniva30703;AT4G03550
Dniva30780;AT5G43970
Dniva30833;AT5G43320
Dniva30837;AT4G25120
Dniva30886;AT2G33210
